en,uk,mess,безлад,,,,,
en,uk,pike,щука,,,,,
en,uk,admire,захоплюватися,,,,,
en,uk,tart,торт,,,,,
en,uk,misfirtune,нещастя,,,,,
en,uk,pregnant,вагітна,,,,,
en,uk,lame,кульгавий,,,,,
en,uk,curse,проклинати,,,,,
en,uk,hoof,копито,,,,,
en,uk,seed,садити,,,,,
en,uk,seed,насіння,,,,,
en,uk,shift,зсув,,,,,
en,uk,shift,змінити,,,,,
en,uk,behalf,користь,,,,,
en,uk,behalf,ім'я,,,,,
en,uk,repugnant,огидний,,,,,
en,uk,custody,опіка,,,,,
en,uk,custody,ув'язнення,,,,,
en,uk,deal,працювати,,,,,
en,uk,deal,мати справу,,,,,
en,uk,deal,справа,,,,,
en,uk,deal,угода,,,,,
en,uk,thrive,розвиватися,,,,,
en,uk,jurisdiction,повноваження,,,,,
en,uk,jurisdiction,юрисдикція,,,,,
en,uk,jurisdiction,компетенція,,,,,
en,uk,permission,дозволити,,,,,
en,uk,deserve,заслуговувати,,,,,
en,uk,forgive me,пробач мені,,,,,
en,uk,saddle,сідло,,,,,
en,uk,swear,присягати,,,,,
en,uk,swear,лаятися,,,,,
en,uk,wee,крихітним,,,,,
en,uk,steady,постійно,,,,,
en,uk,trial,суд,,,,,
en,uk,refer,стосуватися,,,,,
en,uk,embarrassment,ганьба,,,,,
en,uk,bonfire,багаття,,,,,
en,uk,mutter,бурмотіти,,,,,
en,uk,folk,люди,,,,,
en,uk,hope to,сподіватися на,,,,,
en,uk,parley,збори,,,,,
en,uk,reckon,рахуватися,,,,,
en,uk,odd,дивний,,,,,
en,uk,stable,конюшня,,,,,
en,uk,subsequently,згодом,,,,,
en,uk,precious,дорогоцінний,,,,,
en,uk,razor,бритва,,,,,
en,uk,dare,наважитися,,,,,
en,uk,fair,ярмарок,,,,,
en,uk,fair,чесний,,,,,
en,uk,dispute,сперечатися,,,,,
en,uk,grand,величний,,,,,
en,uk,lungs,легені,,,,,
en,uk,odd,непарний,,,,,
en,uk,foreman,бригадир,,,,,
en,uk,apprenticeship,навчання,,,,,
en,uk,dispatch,відправити,,,,,
en,uk,drain,осушити,,,,,
en,uk,fascinate,зачаровувати,,,,,
en,uk,gallantry,хоробрість,,,,,
en,uk,wharf,причал,,,,,
en,uk,guile,лукавства,,,,,
en,uk,cunning,хитрий,,,,,
en,uk,trace of,натяку на,,,,,
en,uk,bolster,зміцнити,,,,,
en,uk,decapitate,обезголовити,,,,,
en,uk,soil,земля,,,,,
en,uk,soil,забруднювати,,,,,
en,uk,bribe,давати хабар,,,,,
en,uk,merciless,безжальний,,,,,
en,uk,vicious,порочне,,,,,
en,uk,cap,кришка,,,,,
en,uk,rotten,гнилий,,,,,
en,uk,flesh,м'ясо,,,,,
en,uk,flesh,м'якоть,,,,,
en,uk,pile of,купка,,,,,
en,uk,wound,ранити,,,,,
en,uk,discard,відмовитися від,,,,,
en,uk,favor,користь,,,,,
en,uk,favor,сприяти,,,,,
en,uk,dump,викинути,,,,,
en,uk,hang,вішати,,,,,
en,uk,bound,зв'язаний,,,,,
en,uk,tram,трамвай,,,,,
en,uk,reveal,виявити,,,,,
en,uk,ump,Союзу за народний рух,,,,,
en,uk,significance,значущість,,,,,
en,uk,brass,латунь,,,,,
en,uk,wage,заробітна плата,,,,,
en,uk,sacrifice,жертва,,,,,
en,uk,reap,збирати,,,,,
en,uk,shed,сарай,,,,,
en,uk,council,рада,,,,,
en,uk,powder,порошок,,,,,
en,uk,blind,сліпий,,,,,
en,uk,slum,трущоба,,,,,
en,uk,neigh,іржати,,,,,
en,uk,mud,бруд,,,,,
en,uk,perhaps,можливо,,,,,
